title,company,location,link,date,skills,experience_needed,salary
Machine Learning Manager,kcsc -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/ow9y8zcxQbne-Machine-Learning-Manager-kcsc-Cairo-Egypt,28 days ago,"['learning', 'Communication', 'Machine Learning', 'Python', 'Computer Science', 'Software']",5 to 10 years,10000 to 20000 SAR Per Month
Robotics and Programming Engineer,Smart Technology -,"Alexandria, Egypt",https://wuzzuf.net/jobs/p/jjEycNgftu1U-Robotics-and-Programming-Engineer-Smart-Technology-Alexandria-Egypt,4 days ago,"['Arduino', 'AVR', 'C', 'AI', 'Computer Science', 'Machine Learning', 'Mechatronics', 'Programming', 'Software Development', 'Python', 'Microcontrollers']",2 to 5 years,Confidential
Senior Backend Developer in Node/Express,Give Brite  -,"Manchester, United Kingdom",https://wuzzuf.net/jobs/p/3k4DYwP9VAza-Senior-Backend-Developer-in-NodeExpress-Give-Brite-Manchester-United-Kingdom,1 month ago,"['AWS', 'MongoDB', 'NestJs', 'Machine Learning']",More than 5 years,Confidential
Machinist / Mechanical Engineer,kpec international -,"Larnaca, Cyprus",https://wuzzuf.net/jobs/p/eRVXqix8zgJQ-Machinist-Mechanical-Engineer-kpec-international-Larnaca-Cyprus,29 days ago,"['Mechanical engineer', 'engineer', 'Maintenance', 'Mechanical Engineering', 'Electrical Engineering', 'Assembly', 'Drawings', 'Engineering', 'Machinery', 'Machines', 'Mechanical', 'Training', 'Repairing']",5 to 20 years,"22000 to 30000 EUR Per Month, Overtime Available"
Full Stack Team Lead/ Engineering Manager,Confidential -,"Lagos, Nigeria",https://wuzzuf.net/jobs/p/ahdzZ4iFyDbs-Full-Stack-Team-Lead-Engineering-Manager-Lagos-Nigeria,2 months ago,"['Engineering', 'Information Technology (IT)', 'Management', 'Computer Science', 'Node.js', 'React', 'React.js', 'MongoDB', 'Machine Learning', 'Software Engineering', 'Software', 'Development', 'Software Development']",More than 5 years,Confidential
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/p/s09wN1eMjfMY-Data-Science-Instructor-EpsilonAI-Cairo-Egypt,2 months ago,"['Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)', 'Software Engineering', 'OOP', 'Programming', 'Mathematics', 'Mathematics Teaching', 'Mathematics Curriculum', 'applied mathematics', 'Information Technology (IT)', 'Software Development']",More than 1 year,Confidential
Online Coding Instructor,Confidential -,"Riyadh, Saudi Arabia",https://wuzzuf.net/jobs/p/Ej8oiMp2sfqj-Online-Coding-Instructor-Riyadh-Saudi-Arabia,1 month ago,"['Arduino', 'Computer Science', 'Instructor', 'online', 'learning', 'Software Development', 'Teaching', 'coding', 'Education', 'Creative', 'Online Teaching', 'Kids', 'Python']",0 to 4 years,Confidential
AI Technical Team Lead (Computer Vision Focus & NLP),Lumin -,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.net/jobs/p/1kRUuVPxsf8W-AI-Technical-Team-Lead-Computer-Vision-Focus-NLP-Lumin-Giza-Egypt,8 days ago,"['Artificial Intelligence (AI)', 'Team Leadership', 'Computer Science', 'Engineering', 'Software Development', 'TensorFlow', 'PyTorch', 'Python', 'Agile', 'Leadership', 'Programming']",4 to 7 years,"Confidential, - Annual Increase
- Annual Bonus
- Social Insurance. 
- Medical Insurance."
Senior AI Engineer,RMG -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/YqALuLpVSgcA-Senior-AI-Engineer-RMG-Cairo-Egypt,20 days ago,"['Information Technology (IT)', 'Artificial Intelligence (AI)']",3 to 7 years,Confidential
AWS Cloud Administrator,Citylogix ME -,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/ThCwX7BRCFwL-AWS-Cloud-Administrator-Citylogix-ME-Cairo-Egypt,21 days ago,"['AWS', 'Information Technology (IT)', 'System Admin', 'System Administration', 'PostgreSQL', 'Docker', 'Node.js']",4 to 7 years,"20000 to 35000 EGP Per Month, Salary is based on experience. Bonus is negotiable."
